# wavelength (um)	eclipse depth
0.0000006487	0.0000000032
0.0000007489	0.0000000190
0.0000008490	0.0000000769
0.0000009491	0.0000002353
0.0000010492	0.0000005836
0.0000011493	0.0000012340
0.0000012494	0.0000023201
0.0000013494	0.0000039671
0.0000014495	0.0000062890
0.0000015495	0.0000093663
0.0000016495	0.0000133156
0.0000017495	0.0000181510
0.0000018495	0.0000239104
0.0000019495	0.0000305586
0.0000020496	0.0000380835
0.0000021496	0.0000464529
0.0000022496	0.0000555884
0.0000023496	0.0000654750
0.0000024497	0.0000760135
0.0000025496	0.0000871245
0.0000026496	0.0000987537
0.0000027497	0.0001114164
0.0000028497	0.0001238462
0.0000029497	0.0001366940
0.0000030497	0.0001498208
0.0000031497	0.0001629280
0.0000032497	0.0001762011
0.0000033498	0.0001895546
0.0000034498	0.0002028832
0.0000035498	0.0002165281
0.0000036498	0.0002301182
0.0000037498	0.0002437081
0.0000038498	0.0002572855
0.0000039498	0.0002708142
0.0000040498	0.0002841504
0.0000041498	0.0002975348
0.0000042499	0.0003106671
0.0000043498	0.0003237150
0.0000044498	0.0003365784
0.0000045498	0.0003493848
0.0000046498	0.0003621063
0.0000047499	0.0003746280
0.0000048499	0.0003868611
0.0000049498	0.0003990502
0.0000050498	0.0004107502
0.0000051498	0.0004224724
0.0000052497	0.0004338615
0.0000053498	0.0004450955
0.0000054498	0.0004561898
0.0000055499	0.0004671743
0.0000056500	0.0004778659
0.0000057499	0.0004882675
0.0000058498	0.0004987089
0.0000059497	0.0005087657
