# wavelength (um)	eclipse depth
0.0000006487	0.0000000077
0.0000007489	0.0000000236
0.0000008490	0.0000000735
0.0000009491	0.0000001980
0.0000010492	0.0000004635
0.0000011493	0.0000009577
0.0000012494	0.0000017451
0.0000013494	0.0000032244
0.0000014495	0.0000055912
0.0000015495	0.0000077554
0.0000016495	0.0000098518
0.0000017495	0.0000147664
0.0000018495	0.0000230346
0.0000019495	0.0000300886
0.0000020496	0.0000367958
0.0000021496	0.0000416633
0.0000022496	0.0000464206
0.0000023496	0.0000585049
0.0000024497	0.0000795448
0.0000025496	0.0001023648
0.0000026496	0.0001113714
0.0000027497	0.0001322081
0.0000028497	0.0001524389
0.0000029497	0.0001702344
0.0000030497	0.0001841456
0.0000031497	0.0001944439
0.0000032497	0.0002017260
0.0000033498	0.0002070169
0.0000034498	0.0002125704
0.0000035498	0.0002194128
0.0000036498	0.0002264237
0.0000037498	0.0002330318
0.0000038498	0.0002417352
0.0000039498	0.0002542184
0.0000040498	0.0002731024
0.0000041498	0.0002913722
0.0000042499	0.0003104721
0.0000043498	0.0003434438
0.0000044498	0.0003768788
0.0000045498	0.0003980054
0.0000046498	0.0004115128
0.0000047499	0.0004246122
0.0000048499	0.0004397763
0.0000049498	0.0004560888
0.0000050498	0.0004754906
0.0000051498	0.0004896285
0.0000052497	0.0005038434
0.0000053498	0.0005146394
0.0000054498	0.0005327949
0.0000055499	0.0005548969
0.0000056500	0.0005529735
0.0000057499	0.0005613498
0.0000058498	0.0005665880
0.0000059497	0.0005741187
