# wavelength (um)	eclipse depth
0.0000006487	0.0000000083
0.0000007489	0.0000000254
0.0000008490	0.0000000777
0.0000009491	0.0000002081
0.0000010492	0.0000004924
0.0000011493	0.0000010290
0.0000012494	0.0000018722
0.0000013494	0.0000034436
0.0000014495	0.0000059353
0.0000015495	0.0000081741
0.0000016495	0.0000103045
0.0000017495	0.0000153881
0.0000018495	0.0000239397
0.0000019495	0.0000312102
0.0000020496	0.0000382010
0.0000021496	0.0000433225
0.0000022496	0.0000484338
0.0000023496	0.0000611693
0.0000024497	0.0000832029
0.0000025496	0.0001070761
0.0000026496	0.0001161934
0.0000027497	0.0001350855
0.0000028497	0.0001545469
0.0000029497	0.0001723620
0.0000030497	0.0001863302
0.0000031497	0.0001968193
0.0000032497	0.0002047441
0.0000033498	0.0002106298
0.0000034498	0.0002168581
0.0000035498	0.0002239249
0.0000036498	0.0002310027
0.0000037498	0.0002376262
0.0000038498	0.0002461807
0.0000039498	0.0002586329
0.0000040498	0.0002773993
0.0000041498	0.0002955123
0.0000042499	0.0003143957
0.0000043498	0.0003469630
0.0000044498	0.0003800849
0.0000045498	0.0004008098
0.0000046498	0.0004137758
0.0000047499	0.0004264937
0.0000048499	0.0004415785
0.0000049498	0.0004578987
0.0000050498	0.0004771294
0.0000051498	0.0004910053
0.0000052497	0.0005048981
0.0000053498	0.0005157627
0.0000054498	0.0005336485
0.0000055499	0.0005553626
0.0000056500	0.0005531607
0.0000057499	0.0005617601
0.0000058498	0.0005669013
0.0000059497	0.0005746657
