# wavelength (um)	eclipse depth
0.0000006487	0.0000000031
0.0000007489	0.0000000185
0.0000008490	0.0000000746
0.0000009491	0.0000002286
0.0000010492	0.0000005658
0.0000011493	0.0000011951
0.0000012494	0.0000022497
0.0000013494	0.0000038548
0.0000014495	0.0000061247
0.0000015495	0.0000091313
0.0000016495	0.0000129520
0.0000017495	0.0000176995
0.0000018495	0.0000232765
0.0000019495	0.0000297600
0.0000020496	0.0000370867
0.0000021496	0.0000452221
0.0000022496	0.0000541369
0.0000023496	0.0000637214
0.0000024497	0.0000739492
0.0000025496	0.0000847365
0.0000026496	0.0000960694
0.0000027497	0.0001083157
0.0000028497	0.0001206462
0.0000029497	0.0001331992
0.0000030497	0.0001459286
0.0000031497	0.0001584135
0.0000032497	0.0001711013
0.0000033498	0.0001837676
0.0000034498	0.0001965640
0.0000035498	0.0002096296
0.0000036498	0.0002225745
0.0000037498	0.0002353282
0.0000038498	0.0002481660
0.0000039498	0.0002608237
0.0000040498	0.0002733652
0.0000041498	0.0002856751
0.0000042499	0.0002980705
0.0000043498	0.0003102589
0.0000044498	0.0003224198
0.0000045498	0.0003346759
0.0000046498	0.0003472176
0.0000047499	0.0003598213
0.0000048499	0.0003723206
0.0000049498	0.0003849296
0.0000050498	0.0003974543
0.0000051498	0.0004095986
0.0000052497	0.0004212972
0.0000053498	0.0004328638
0.0000054498	0.0004439020
0.0000055499	0.0004547998
0.0000056500	0.0004657665
0.0000057499	0.0004763783
0.0000058498	0.0004872266
0.0000059497	0.0004976893
