# wavelength (um)	eclipse depth
0.0000006487	0.0000000032
0.0000007489	0.0000000190
0.0000008490	0.0000000768
0.0000009491	0.0000002351
0.0000010492	0.0000005824
0.0000011493	0.0000012327
0.0000012494	0.0000023194
0.0000013494	0.0000039703
0.0000014495	0.0000063016
0.0000015495	0.0000094172
0.0000016495	0.0000133940
0.0000017495	0.0000182584
0.0000018495	0.0000240218
0.0000019495	0.0000306952
0.0000020496	0.0000382347
0.0000021496	0.0000466245
0.0000022496	0.0000557756
0.0000023496	0.0000656553
0.0000024497	0.0000762025
0.0000025496	0.0000873603
0.0000026496	0.0000990548
0.0000027497	0.0001116065
0.0000028497	0.0001241967
0.0000029497	0.0001370972
0.0000030497	0.0001502519
0.0000031497	0.0001633860
0.0000032497	0.0001765897
0.0000033498	0.0001898198
0.0000034498	0.0002031263
0.0000035498	0.0002167432
0.0000036498	0.0002303297
0.0000037498	0.0002439003
0.0000038498	0.0002574255
0.0000039498	0.0002709393
0.0000040498	0.0002843196
0.0000041498	0.0002976158
0.0000042499	0.0003108171
0.0000043498	0.0003237570
0.0000044498	0.0003367508
0.0000045498	0.0003493446
0.0000046498	0.0003620330
0.0000047499	0.0003744600
0.0000048499	0.0003866440
0.0000049498	0.0003987759
0.0000050498	0.0004106073
0.0000051498	0.0004223266
0.0000052497	0.0004338678
0.0000053498	0.0004453249
0.0000054498	0.0004562768
0.0000055499	0.0004673299
0.0000056500	0.0004780948
0.0000057499	0.0004884572
0.0000058498	0.0004988839
0.0000059497	0.0005090149
