# wavelength (um)	eclipse depth
0.0000006487	0.0000000032
0.0000007489	0.0000000192
0.0000008490	0.0000000773
0.0000009491	0.0000002367
0.0000010492	0.0000005854
0.0000011493	0.0000012344
0.0000012494	0.0000023167
0.0000013494	0.0000039559
0.0000014495	0.0000062654
0.0000015495	0.0000093395
0.0000016495	0.0000132809
0.0000017495	0.0000181133
0.0000018495	0.0000238580
0.0000019495	0.0000305126
0.0000020496	0.0000380397
0.0000021496	0.0000464152
0.0000022496	0.0000555468
0.0000023496	0.0000654179
0.0000024497	0.0000759147
0.0000025496	0.0000869743
0.0000026496	0.0000985550
0.0000027497	0.0001109311
0.0000028497	0.0001235034
0.0000029497	0.0001363324
0.0000030497	0.0001493570
0.0000031497	0.0001624345
0.0000032497	0.0001755539
0.0000033498	0.0001888098
0.0000034498	0.0002021068
0.0000035498	0.0002156678
0.0000036498	0.0002292804
0.0000037498	0.0002426984
0.0000038498	0.0002562403
0.0000039498	0.0002696303
0.0000040498	0.0002830382
0.0000041498	0.0002963745
0.0000042499	0.0003096096
0.0000043498	0.0003227397
0.0000044498	0.0003359060
0.0000045498	0.0003488345
0.0000046498	0.0003618221
0.0000047499	0.0003747305
0.0000048499	0.0003870828
0.0000049498	0.0003993917
0.0000050498	0.0004114960
0.0000051498	0.0004233722
0.0000052497	0.0004349956
0.0000053498	0.0004463105
0.0000054498	0.0004575903
0.0000055499	0.0004686119
0.0000056500	0.0004794866
0.0000057499	0.0004900359
0.0000058498	0.0005003947
0.0000059497	0.0005105065
