# wavelength (um)	eclipse depth
0.0000006487	0.0000000030
0.0000007489	0.0000000182
0.0000008490	0.0000000737
0.0000009491	0.0000002251
0.0000010492	0.0000005581
0.0000011493	0.0000011829
0.0000012494	0.0000022158
0.0000013494	0.0000037711
0.0000014495	0.0000059654
0.0000015495	0.0000088606
0.0000016495	0.0000125686
0.0000017495	0.0000170697
0.0000018495	0.0000224228
0.0000019495	0.0000287770
0.0000020496	0.0000355592
0.0000021496	0.0000432630
0.0000022496	0.0000519928
0.0000023496	0.0000618570
0.0000024497	0.0000718906
0.0000025496	0.0000825142
0.0000026496	0.0000945532
0.0000027497	0.0001109479
0.0000028497	0.0001239503
0.0000029497	0.0001369006
0.0000030497	0.0001500162
0.0000031497	0.0001627833
0.0000032497	0.0001751691
0.0000033498	0.0001869105
0.0000034498	0.0001983915
0.0000035498	0.0002104710
0.0000036498	0.0002232781
0.0000037498	0.0002371539
0.0000038498	0.0002506473
0.0000039498	0.0002645817
0.0000040498	0.0002785984
0.0000041498	0.0002929711
0.0000042499	0.0003072982
0.0000043498	0.0003217654
0.0000044498	0.0003360320
0.0000045498	0.0003491437
0.0000046498	0.0003624929
0.0000047499	0.0003752986
0.0000048499	0.0003878762
0.0000049498	0.0004003022
0.0000050498	0.0004123017
0.0000051498	0.0004240184
0.0000052497	0.0004356485
0.0000053498	0.0004471427
0.0000054498	0.0004582785
0.0000055499	0.0004693793
0.0000056500	0.0004802601
0.0000057499	0.0004907391
0.0000058498	0.0005011372
0.0000059497	0.0005112039
