# wavelength (um)	eclipse depth
0.0000006487	0.0000000027
0.0000007489	0.0000000181
0.0000008490	0.0000000772
0.0000009491	0.0000002393
0.0000010492	0.0000005968
0.0000011493	0.0000012541
0.0000012494	0.0000023290
0.0000013494	0.0000038735
0.0000014495	0.0000056855
0.0000015495	0.0000077048
0.0000016495	0.0000099368
0.0000017495	0.0000127438
0.0000018495	0.0000163099
0.0000019495	0.0000205636
0.0000020496	0.0000254146
0.0000021496	0.0000308435
0.0000022496	0.0000367898
0.0000023496	0.0000432474
0.0000024497	0.0000501538
0.0000025496	0.0000575874
0.0000026496	0.0000659908
0.0000027497	0.0000772782
0.0000028497	0.0000891992
0.0000029497	0.0001002126
0.0000030497	0.0001109540
0.0000031497	0.0001217451
0.0000032497	0.0001331846
0.0000033498	0.0001473018
0.0000034498	0.0001609989
0.0000035498	0.0001766216
0.0000036498	0.0001933036
0.0000037498	0.0002102486
0.0000038498	0.0002265353
0.0000039498	0.0002418564
0.0000040498	0.0002575905
0.0000041498	0.0002724782
0.0000042499	0.0002905540
0.0000043498	0.0003052283
0.0000044498	0.0003191562
0.0000045498	0.0003339178
0.0000046498	0.0003486182
0.0000047499	0.0003626233
0.0000048499	0.0003782824
0.0000049498	0.0003942979
0.0000050498	0.0004063332
0.0000051498	0.0004189605
0.0000052497	0.0004311981
0.0000053498	0.0004427669
0.0000054498	0.0004544072
0.0000055499	0.0004655112
0.0000056500	0.0004765104
0.0000057499	0.0004866849
0.0000058498	0.0004971327
0.0000059497	0.0005068731
