# wavelength (um)	eclipse depth
0.0000006487	0.0000000087
0.0000007489	0.0000000262
0.0000008490	0.0000000795
0.0000009491	0.0000002103
0.0000010492	0.0000004871
0.0000011493	0.0000010018
0.0000012494	0.0000018089
0.0000013494	0.0000033222
0.0000014495	0.0000057197
0.0000015495	0.0000079118
0.0000016495	0.0000099666
0.0000017495	0.0000148724
0.0000018495	0.0000230967
0.0000019495	0.0000300621
0.0000020496	0.0000367702
0.0000021496	0.0000416238
0.0000022496	0.0000464642
0.0000023496	0.0000586302
0.0000024497	0.0000797590
0.0000025496	0.0001025946
0.0000026496	0.0001114772
0.0000027497	0.0001305024
0.0000028497	0.0001512900
0.0000029497	0.0001695133
0.0000030497	0.0001837154
0.0000031497	0.0001943855
0.0000032497	0.0002015869
0.0000033498	0.0002065074
0.0000034498	0.0002117156
0.0000035498	0.0002179656
0.0000036498	0.0002243124
0.0000037498	0.0002298209
0.0000038498	0.0002373986
0.0000039498	0.0002489038
0.0000040498	0.0002666358
0.0000041498	0.0002836067
0.0000042499	0.0003014792
0.0000043498	0.0003324217
0.0000044498	0.0003647502
0.0000045498	0.0003855913
0.0000046498	0.0003983107
0.0000047499	0.0004102629
0.0000048499	0.0004241730
0.0000049498	0.0004395165
0.0000050498	0.0004576795
0.0000051498	0.0004706740
0.0000052497	0.0004838511
0.0000053498	0.0004938457
0.0000054498	0.0005111157
0.0000055499	0.0005320984
0.0000056500	0.0005297919
0.0000057499	0.0005374653
0.0000058498	0.0005421067
0.0000059497	0.0005500249
