# wavelength (um)	eclipse depth
0.0000006487	0.0000000031
0.0000007489	0.0000000186
0.0000008490	0.0000000754
0.0000009491	0.0000002316
0.0000010492	0.0000005754
0.0000011493	0.0000012167
0.0000012494	0.0000022857
0.0000013494	0.0000039027
0.0000014495	0.0000061616
0.0000015495	0.0000091739
0.0000016495	0.0000130347
0.0000017495	0.0000177627
0.0000018495	0.0000233718
0.0000019495	0.0000299026
0.0000020496	0.0000372535
0.0000021496	0.0000454428
0.0000022496	0.0000544034
0.0000023496	0.0000640591
0.0000024497	0.0000743578
0.0000025496	0.0000852394
0.0000026496	0.0000967394
0.0000027497	0.0001098240
0.0000028497	0.0001223602
0.0000029497	0.0001349976
0.0000030497	0.0001478219
0.0000031497	0.0001604987
0.0000032497	0.0001732733
0.0000033498	0.0001861146
0.0000034498	0.0001988328
0.0000035498	0.0002121273
0.0000036498	0.0002254211
0.0000037498	0.0002386919
0.0000038498	0.0002519457
0.0000039498	0.0002652348
0.0000040498	0.0002783709
0.0000041498	0.0002914855
0.0000042499	0.0003044495
0.0000043498	0.0003175133
0.0000044498	0.0003302371
0.0000045498	0.0003428635
0.0000046498	0.0003557855
0.0000047499	0.0003684384
0.0000048499	0.0003807373
0.0000049498	0.0003932623
0.0000050498	0.0004052154
0.0000051498	0.0004171278
0.0000052497	0.0004287099
0.0000053498	0.0004401137
0.0000054498	0.0004511673
0.0000055499	0.0004620835
0.0000056500	0.0004727968
0.0000057499	0.0004833357
0.0000058498	0.0004938841
0.0000059497	0.0005043555
