# wavelength (um)	eclipse depth
0.0000006487	0.0000000018
0.0000007489	0.0000000099
0.0000008490	0.0000000385
0.0000009491	0.0000001164
0.0000010492	0.0000002856
0.0000011493	0.0000006069
0.0000012494	0.0000011459
0.0000013494	0.0000019682
0.0000014495	0.0000031160
0.0000015495	0.0000045030
0.0000016495	0.0000063533
0.0000017495	0.0000087166
0.0000018495	0.0000115872
0.0000019495	0.0000152342
0.0000020496	0.0000186691
0.0000021496	0.0000231877
0.0000022496	0.0000278783
0.0000023496	0.0000335889
0.0000024497	0.0000405019
0.0000025496	0.0000478710
0.0000026496	0.0000603342
0.0000027497	0.0000949752
0.0000028497	0.0001096188
0.0000029497	0.0001234017
0.0000030497	0.0001337840
0.0000031497	0.0001419697
0.0000032497	0.0001473170
0.0000033498	0.0001501281
0.0000034498	0.0001513528
0.0000035498	0.0001543489
0.0000036498	0.0001616369
0.0000037498	0.0001762309
0.0000038498	0.0001912688
0.0000039498	0.0002076311
0.0000040498	0.0002202059
0.0000041498	0.0002366127
0.0000042499	0.0002615338
0.0000043498	0.0002880927
0.0000044498	0.0003155397
0.0000045498	0.0003333627
0.0000046498	0.0003515787
0.0000047499	0.0003660194
0.0000048499	0.0003801040
0.0000049498	0.0003947969
0.0000050498	0.0004078525
0.0000051498	0.0004206733
0.0000052497	0.0004331226
0.0000053498	0.0004449685
0.0000054498	0.0004562173
0.0000055499	0.0004679149
0.0000056500	0.0004790035
0.0000057499	0.0004895749
0.0000058498	0.0004997138
0.0000059497	0.0005103394
