# wavelength (um)	eclipse depth
0.0000006487	0.0000000006
0.0000007489	0.0000000034
0.0000008490	0.0000000136
0.0000009491	0.0000000412
0.0000010492	0.0000000952
0.0000011493	0.0000001938
0.0000012494	0.0000003704
0.0000013494	0.0000006408
0.0000014495	0.0000009912
0.0000015495	0.0000014789
0.0000016495	0.0000020847
0.0000017495	0.0000028480
0.0000018495	0.0000037643
0.0000019495	0.0000049364
0.0000020496	0.0000060905
0.0000021496	0.0000076377
0.0000022496	0.0000092869
0.0000023496	0.0000111323
0.0000024497	0.0000134594
0.0000025496	0.0000160431
0.0000026496	0.0000219238
0.0000027497	0.0000471167
0.0000028497	0.0000545717
0.0000029497	0.0000618072
0.0000030497	0.0000651133
0.0000031497	0.0000672543
0.0000032497	0.0000669253
0.0000033498	0.0000657949
0.0000034498	0.0000640717
0.0000035498	0.0000630018
0.0000036498	0.0000641217
0.0000037498	0.0000677980
0.0000038498	0.0000726774
0.0000039498	0.0000799716
0.0000040498	0.0000848930
0.0000041498	0.0000927691
0.0000042499	0.0001061536
0.0000043498	0.0001259323
0.0000044498	0.0001538304
0.0000045498	0.0001734386
0.0000046498	0.0001999055
0.0000047499	0.0002161175
0.0000048499	0.0002324843
0.0000049498	0.0002737870
0.0000050498	0.0003017239
0.0000051498	0.0003193272
0.0000052497	0.0003523512
0.0000053498	0.0003788037
0.0000054498	0.0003805064
0.0000055499	0.0004066325
0.0000056500	0.0004197462
0.0000057499	0.0004246048
0.0000058498	0.0004358790
0.0000059497	0.0004494509
