# wavelength (um)	eclipse depth
0.0000006487	0.0000000059
0.0000007489	0.0000000168
0.0000008490	0.0000000498
0.0000009491	0.0000001312
0.0000010492	0.0000003092
0.0000011493	0.0000006499
0.0000012494	0.0000011823
0.0000013494	0.0000021811
0.0000014495	0.0000037649
0.0000015495	0.0000052231
0.0000016495	0.0000066517
0.0000017495	0.0000100686
0.0000018495	0.0000159370
0.0000019495	0.0000214913
0.0000020496	0.0000260981
0.0000021496	0.0000299264
0.0000022496	0.0000337333
0.0000023496	0.0000433183
0.0000024497	0.0000604538
0.0000025496	0.0000798169
0.0000026496	0.0000914154
0.0000027497	0.0001255288
0.0000028497	0.0001476346
0.0000029497	0.0001664376
0.0000030497	0.0001797594
0.0000031497	0.0001883449
0.0000032497	0.0001934679
0.0000033498	0.0001953783
0.0000034498	0.0001972795
0.0000035498	0.0002014488
0.0000036498	0.0002082706
0.0000037498	0.0002183763
0.0000038498	0.0002276752
0.0000039498	0.0002410142
0.0000040498	0.0002612452
0.0000041498	0.0002823265
0.0000042499	0.0003046189
0.0000043498	0.0003402011
0.0000044498	0.0003769018
0.0000045498	0.0003972799
0.0000046498	0.0004111880
0.0000047499	0.0004246064
0.0000048499	0.0004404542
0.0000049498	0.0004578508
0.0000050498	0.0004773977
0.0000051498	0.0004915611
0.0000052497	0.0005059471
0.0000053498	0.0005170922
0.0000054498	0.0005352945
0.0000055499	0.0005576972
0.0000056500	0.0005558456
0.0000057499	0.0005646360
0.0000058498	0.0005695599
0.0000059497	0.0005776390
